x,y,heights,dt,conf,stype,ssh_flag,gauss,photon_rate,cloud,mss,ocean,lpe,ib
599693.786604952,9587062.343366688,0.07413864,144088538.44145104,0.013473323,1,0,0.198,6.047619,1,18.036867,-0.004652816,0.057593614,-0.066839635
599691.6899206259,9587055.79783588,0.08885193,144088538.44242018,0.022943385,1,0,0.126,6.4761906,1,18.036818,-0.0046528312,0.057593457,-0.066839166
599689.457477302,9587048.822065173,0.01684761,144088538.44345367,0.012472161,1,0,0.138,6.7,1,18.03679,-0.004652837,0.057593454,-0.066838756
599687.8408532002,9587043.766572932,-0.034488678,144088538.44420254,0.025287151,1,0,0.14199999,8.111111,1,18.036745,-0.0046528373,0.05759345,-0.06683869
599685.9578743379,9587037.871156802,0.010498047,144088538.4450757,0.021890039,1,0,0.153,6.6190476,1,18.03673,-0.0046528466,0.057593454,-0.06683881
599683.2007747602,9587029.229606606,0.011915207,144088538.44635588,0.018103534,1,0,0.168,6.304348,1,18.036688,-0.0046528564,0.05759345,-0.066838875
599681.4526224615,9587023.746135036,-0.0425148,144088538.44716832,0.014941528,1,0,0.219,7.9444447,1,18.036686,-0.0046528564,0.057593454,-0.06683848
599680.0205378545,9587019.259186875,-0.16550064,144088538.44783294,0.01671323,1,0,0.155,9.6,1,18.03664,-0.004652857,0.05759345,-0.066838324
599678.929956872,9587015.845968416,-0.21313095,144088538.4483383,0.027509939,1,0,0.084,11.538462,1,18.036617,-0.0046528624,0.057593428,-0.06683817
599677.6619042269,9587011.8694475,-0.21453285,144088538.4489271,0.03797745,1,0,0.077,10.923077,1,18.036615,-0.004652863,0.057593435,-0.06683806
599676.2419070683,9587007.379454508,-0.15172958,144088538.44959265,0.015110662,1,0,0.149,8.5625,1,18.036615,-0.004652863,0.05759343,-0.06683806
599674.1579116496,9587000.782974692,-0.007484436,144088538.4505706,0.012356905,1,0,0.249,6.857143,1,18.036583,-0.0046528876,0.05759343,-0.06683806
599671.4950859076,9586992.351267524,-0.026987076,144088538.45182046,0.012728121,1,0,0.242,5.6,1,18.036533,-0.0046528964,0.057593428,-0.06683802
599668.6790765706,9586983.427798668,-0.06850052,144088538.45314306,0.014659022,1,0,0.16999999,5.0740743,1,18.03645,-0.004652901,0.057593428,-0.06683774
599665.7695801199,9586974.20146965,-0.032007217,144088538.45451027,0.016394567,1,0,0.173,5.111111,1,18.036406,-0.0046529146,0.057593375,-0.06683755
